date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:35	248367/248367	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Mar%202025%2019:06:20%20GMT	https://www.flent.in/properties/bloom-kasavanahalli	C:/My%20Web%20Sites/flent-kasavanhalli/www.flent.in/properties/bloom-kasavanahalli.html	(from )
18:46:36	7984/7984	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22d5342f815cb4c8f8effbc9b8e8c5afd7%22	https://www.flent.in/robots.txt		(from )
18:46:36	326149/326149	---M-Z	200	added ('OK')	text/css	etag:%22b2a5301ae9ca70bbee35c3951e8aed87%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/css/flent.webflow.79fc90e66.min.css	C:/My%20Web%20Sites/flent-kasavanhalli/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/css/flent.webflow.79fc90e66.min.css	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:36	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/flent-kasavanhalli/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:36	622/622	---M--	200	added ('OK')	image/jpeg	etag:%22cdd994625a7d7c6f5b3231347ebf6fbb%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c987597662dabd2bccc_fav32.jpg	C:/My%20Web%20Sites/flent-kasavanhalli/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c987597662dabd2bccc_fav32.jpg	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:37	4841/4841	---M--	200	added ('OK')	image/jpeg	etag:%2270d37d6a9f17005c3e42eeb441f3d788%22	https://cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c9b3fa34dea8ec79d50_fav256.jpg	C:/My%20Web%20Sites/flent-kasavanhalli/cdn.prod.website-files.com/6593ed11d5ad65d107dfe76c/66f10c9b3fa34dea8ec79d50_fav256.jpg	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:37	248207/248207	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2019%20Mar%202025%2013:16:36%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/flent-kasavanhalli/connect.facebook.net/en_US/fbevents.js	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:37	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2019%20Mar%202025%2013:16:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/flent-kasavanhalli/www.googletagmanager.com/gtm.65445.delayed	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:38	2048/2048	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2019%20Mar%202025%2013:16:37%20GMT	http://js.hs-scripts.com/45469632.js	C:/My%20Web%20Sites/flent-kasavanhalli/js.hs-scripts.com/45469632.js	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:38	6328/6328	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218b8-du6Dzp87eh0ksK+UK1Ks8kS5ZkI%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	C:/My%20Web%20Sites/flent-kasavanhalli/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	(from https://www.flent.in/properties/bloom-kasavanahalli)
18:46:38	23115/23115	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a4b-PT05vO68/Eb2gc6xYWwNzdj8FTo%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/My%20Web%20Sites/flent-kasavanhalli/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.flent.in/properties/bloom-kasavanahalli)
